breadth,exit_buffer,sl,tp,max_pos,leverage,bgap,max_hold_days,final,trades,mwr,pf,sharpe,mdd,win_rate,score,return_pct
0.6,0.975,5.0,40.0,10,1.5,0.12,30,731608.6156599992,941,0.21311475409836064,0.879597190665518,-0.34177658802379046,36.22910084110947,0.5246252676659529,-9990.66,-26.839138434000077
0.5,0.98,5.0,40.0,10,1.5,0.1,30,533763.6017199979,931,0.21311475409836064,0.7815835879243889,-0.6794541293756823,50.13511430563806,0.5102040816326531,-9990.69,-46.62363982800021
0.5,0.98,5.0,40.0,10,1.5,0.12,30,776748.5478600005,931,0.21311475409836064,0.9115690112421669,-0.17772897128693546,30.832530258993728,0.5156756756756756,-9990.75,-22.325145213999953
0.5,0.98,3.0,40.0,10,1.5,0.12,30,779470.0454799982,930,0.2459016393442623,0.9017249523656489,-0.2049823644607189,37.98362959202674,0.5227272727272727,-9990.76,-22.05299545200018
0.5,0.975,3.0,40.0,10,2.0,0.12,30,564525.77296,921,0.21311475409836064,0.8380706841253825,-0.476958343741028,57.63237795809996,0.5054704595185996,-9990.86,-43.547422704000006
0.6,0.98,3.0,40.0,10,1.0,0.12,30,792452.1333200011,910,0.26229508196721313,0.8715016629248022,-0.45973314250481423,27.058135833999874,0.5142857142857142,-9990.9,-20.75478666799989
0.5,0.98,5.0,40.0,10,2.0,0.12,30,564594.1332799998,913,0.22950819672131148,0.8514431753464463,-0.4925591928354184,49.110627399183294,0.5005512679162073,-9990.93,-43.54058667200002
0.6,0.98,3.0,40.0,10,1.5,0.12,30,446009.39579999924,910,0.18032786885245902,0.7115588838659228,-1.0756574462694535,57.81706516012592,0.48344370860927155,-9990.94,-55.39906042000007
0.6,0.975,3.0,40.0,10,1.5,0.1,30,431683.1473800002,910,0.18032786885245902,0.6824904673046674,-1.270476910794578,59.48472022473298,0.4922737306843267,-9990.94,-56.83168526199998
0.5,0.975,3.0,40.0,10,2.0,0.1,30,562879.7505999992,905,0.19672131147540983,0.8292341281073924,-0.44755874557052683,57.74052580551534,0.5049723756906077,-9990.95,-43.712024940000084
0.5,0.975,5.0,40.0,10,1.5,0.12,30,549700.0830799994,901,0.21311475409836064,0.7874991585795694,-0.6988282523546963,55.41502168558633,0.5194228634850167,-9990.99,-45.02999169200006
0.5,0.975,5.0,40.0,10,1.5,0.1,30,565782.7502799995,900,0.21311475409836064,0.7955674090572572,-0.7549717580439361,51.444499034283176,0.5166666666666667,-9991.0,-43.42172497200005
0.5,0.98,3.0,40.0,10,1.0,0.1,30,831102.8601000021,900,0.2786885245901639,0.8990863811484509,-0.30371053875057624,23.52019211006029,0.5333333333333333,-9991.0,-16.889713989999787
0.6,0.98,3.0,40.0,10,1.5,0.1,30,428295.33547999896,903,0.19672131147540983,0.6858093881108078,-1.3087327540381117,60.003907775580814,0.47888888888888886,-9991.0,-57.1704664520001
0.5,0.98,3.0,40.0,10,1.0,0.12,30,982801.0138000019,904,0.29508196721311475,0.9924618992861097,0.021728005933863537,18.120053495058038,0.5394883203559511,-9991.01,-1.7198986199998045
0.6,0.98,5.0,40.0,10,1.0,0.1,30,957425.3192000005,892,0.26229508196721313,0.9738123024119254,-0.04590963916549152,25.311812687103075,0.5168161434977578,-9991.08,-4.257468079999949
0.5,0.98,5.0,40.0,10,1.0,0.1,30,1005973.0998000012,892,0.2786885245901639,1.005595294684726,0.059108680703646534,17.184331989027545,0.5474040632054176,-9991.14,0.5973099800001158
0.6,0.98,3.0,40.0,10,1.0,0.1,30,656950.5604600009,889,0.22950819672131148,0.7781644469875386,-0.8187161784168075,36.26388039399996,0.4903954802259887,-9991.15,-34.30494395399991
