日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20260228,2185,シイエム・シイ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260228,2186,ソーバル,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260228,218A,Ｌｉｂｅｒａｗａｒｅ,グロース（内国株式）,3750,精密機器,9,電機・精密,-,-
20260228,2193,クックパッド,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20260228,2195,アミタホールディングス,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260228,2196,エスクリ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260228,2198,アイ・ケイ・ケイホールディングス,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260228,219A,Ｈｅａｒｔｓｅｅｄ,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20260228,2201,森永製菓,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20260228,2204,中村屋,スタンダード（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20260228,2206,江崎グリコ,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20260228,2207,ｍｅｉｔｏ,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20260228,2208,ブルボン,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20260228,2209,井村屋グループ,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20260228,220A,Ｆａｂｅｒ　Ｃｏｍｐａｎｙ,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260228,2211,不二家,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20260228,2212,山崎製パン,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20260228,2215,第一屋製パン,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20260228,2216,カンロ,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20260228,2217,モロゾフ,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20260228,221A,ＭＡＸＩＳ日経半導体株上場投信,ETF・ETN,-,-,-,-,-,-
20260228,2220,亀田製菓,プライム（内国株式）,3050,食料品,1,食品,6,TOPIX Small 1
20260228,2221,岩塚製菓,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20260228,2222,寿スピリッツ,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20260228,2224,コモ,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20260228,2226,湖池屋,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20260228,2229,カルビー,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20260228,222A,ＮＩＣＳ,PRO Market,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260228,2235,上場インデックスファンド米国株式（ダウ平均）為替ヘッジなし,ETF・ETN,-,-,-,-,-,-
20260228,2236,グローバルＸ　Ｓ＆Ｐ５００配当貴族ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20260228,2237,ｉＦｒｅｅＥＴＦ　Ｓ＆Ｐ５００レバレッジ,ETF・ETN,-,-,-,-,-,-
20260228,2238,ｉＦｒｅｅＥＴＦ　Ｓ＆Ｐ５００インバース,ETF・ETN,-,-,-,-,-,-
20260228,2239,上場インデックスファンドＳ＆Ｐ５００先物レバレッジ２倍,ETF・ETN,-,-,-,-,-,-
20260228,223A,グローバルＸ　ＡＩ＆ビッグデータ　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20260228,2240,上場インデックスファンドＳ＆Ｐ５００先物インバース,ETF・ETN,-,-,-,-,-,-
20260228,2241,ＭＡＸＩＳ　ＮＹダウ上場投信,ETF・ETN,-,-,-,-,-,-
20260228,2242,ＭＡＸＩＳ　ＮＹダウ上場投信（為替ヘッジあり）,ETF・ETN,-,-,-,-,-,-
20260228,2243,グローバルＸ　半導体　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20260228,2244,グローバルＸ　ＵＳ　テック・トップ２０　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20260228,2245,ＮＥＸＴ　ＦＵＮＤＳ　ブルームバーグ・ドイツ国債（７－１０年）インデックス（為替ヘッジあり）連動型上場投信,ETF・ETN,-,-,-,-,-,-
