コード,銘柄名,市場・商品区分
1688,ＷｉｓｄｏｍＴｒｅｅ　穀物上場投資信託,ETF・ETN
1689,ＷｉｓｄｏｍＴｒｅｅ　天然ガス上場投資信託,ETF・ETN
168A,イタミアート,グロース（内国株式）
1690,ＷｉｓｄｏｍＴｒｅｅ　ＷＴＩ　原油上場投資信託,ETF・ETN
1691,ＷｉｓｄｏｍＴｒｅｅ　ガソリン上場投資信託,ETF・ETN
1692,ＷｉｓｄｏｍＴｒｅｅ　アルミニウム上場投資信託,ETF・ETN
1693,ＷｉｓｄｏｍＴｒｅｅ　銅上場投資信託,ETF・ETN
1694,ＷｉｓｄｏｍＴｒｅｅ　ニッケル上場投資信託,ETF・ETN
1695,ＷｉｓｄｏｍＴｒｅｅ　小麦上場投資信託,ETF・ETN
1696,ＷｉｓｄｏｍＴｒｅｅ　とうもろこし上場投資信託,ETF・ETN
1697,ＷｉｓｄｏｍＴｒｅｅ　大豆上場投資信託,ETF・ETN
1698,上場インデックスファンド日本高配当（東証配当フォーカス１００）,ETF・ETN
1699,ＮＥＸＴ　ＦＵＮＤＳ　ＮＯＭＵＲＡ　原油インデックス連動型上場投信,ETF・ETN
170A,ＳＭＴ　ＥＴＦ日本好配当株アクティブ,ETF・ETN
1711,ＳＤＳホールディングス,スタンダード（内国株式）
1716,第一カッター興業,スタンダード（内国株式）
1717,明豊ファシリティワークス,スタンダード（内国株式）
1718,美樹工業,スタンダード（内国株式）
1719,安藤・間,プライム（内国株式）
171A,ゼロジャパン,PRO Market
1720,東急建設,プライム（内国株式）
1721,コムシスホールディングス,プライム（内国株式）
1723,日本電技,スタンダード（内国株式）
1724,シンクレイヤ,スタンダード（内国株式）
1726,ビーアールホールディングス,プライム（内国株式）
172A,ネオホーム,PRO Market
1736,オーテック,スタンダード（内国株式）
173A,ハンモック,グロース（内国株式）
1758,太洋基礎工業,スタンダード（内国株式）
175A,Ｗｉｌｌ　Ｓｍａｒｔ,グロース（内国株式）
1762,高松コンストラクショングループ,プライム（内国株式）
1764,工藤建設,スタンダード（内国株式）
1766,東建コーポレーション,プライム（内国株式）
1768,ソネック,スタンダード（内国株式）
1770,藤田エンジニアリング,スタンダード（内国株式）
1773,ワイ・ティー・エル・コーポレーション・バーハッド,プライム（外国株式）
1776,三井住建道路,スタンダード（内国株式）
177A,コージンバイオ,グロース（内国株式）
1780,ヤマウラ,プライム（内国株式）
1783,ｆａｎｔａｓｉｓｔａ,スタンダード（内国株式）
1786,オリエンタル白石,プライム（内国株式）
1787,ナカボーテック,スタンダード（内国株式）
1788,三東工業社,スタンダード（内国株式）
178A,グローバルＸ　革新的優良企業　ＥＴＦ,ETF・ETN
1793,大本組,スタンダード（内国株式）
1795,マサル,スタンダード（内国株式）
1798,守谷商会,スタンダード（内国株式）
1799,第一建設工業,スタンダード（内国株式）
179A,グローバルＸ　超長期米国債　ＥＴＦ（為替ヘッジあり）,ETF・ETN
1801,大成建設,プライム（内国株式）
1802,大林組,プライム（内国株式）
1803,清水建設,プライム（内国株式）
1807,佐藤渡辺,スタンダード（内国株式）
1808,長谷工コーポレーション,プライム（内国株式）
180A,グローバルＸ　超長期米国債　ＥＴＦ,ETF・ETN
1810,松井建設,スタンダード（内国株式）
1811,錢高組,スタンダード（内国株式）
1812,鹿島建設,プライム（内国株式）
1813,不動テトラ,プライム（内国株式）
1814,大末建設,プライム（内国株式）
1815,鉄建建設,プライム（内国株式）
181A,ＭＡＸＩＳ米国国債１－３年上場投信（為替ヘッジなし）,ETF・ETN
1820,西松建設,プライム（内国株式）
1822,大豊建設,スタンダード（内国株式）
1826,佐田建設,スタンダード（内国株式）
1827,ナカノフドー建設,スタンダード（内国株式）
1828,田辺工業,スタンダード（内国株式）
182A,ＭＡＸＩＳ米国国債２０年超上場投信（為替ヘッジなし）,ETF・ETN
1833,奥村組,プライム（内国株式）
1835,東鉄工業,プライム（内国株式）
183A,ＭＡＸＩＳ米国国債２０年超上場投信（為替ヘッジあり）,ETF・ETN
1840,土屋ホールディングス,スタンダード（内国株式）
1841,サンユー建設,スタンダード（内国株式）
1844,大盛工業,スタンダード（内国株式）
1847,イチケン,スタンダード（内国株式）
1848,富士ピー・エス,スタンダード（内国株式）
184A,学びエイド,グロース（内国株式）
1850,南海辰村建設,スタンダード（内国株式）
1852,淺沼組,プライム（内国株式）
1853,森組,スタンダード（内国株式）
185A,リサイクルテック・ジャパン,PRO Market
1860,戸田建設,プライム（内国株式）
1861,熊谷組,プライム（内国株式）
1866,北野建設,スタンダード（内国株式）
1867,植木組,スタンダード（内国株式）
186A,アストロスケールホールディングス,グロース（内国株式）
1870,矢作建設工業,プライム（内国株式）
1871,ピーエス・コンストラクション,プライム（内国株式）
1873,日本ハウスホールディングス,プライム（内国株式）
1878,大東建託,プライム（内国株式）
1879,新日本建設,プライム（内国株式）
1882,東亜道路工業,プライム（内国株式）
1885,東亜建設工業,プライム（内国株式）
1887,日本国土開発,プライム（内国株式）
1888,若築建設,プライム（内国株式）
188A,グローバルＸ　インド・トップ１０＋　ＥＴＦ,ETF・ETN
1893,五洋建設,プライム（内国株式）
1897,金下建設,スタンダード（内国株式）
1898,世紀東急工業,プライム（内国株式）
1899,福田組,プライム（内国株式）
189A,Ｄ＆Ｍカンパニー,グロース（内国株式）
1904,大成温調,スタンダード（内国株式）
1905,テノックス,スタンダード（内国株式）
1909,日本ドライケミカル,スタンダード（内国株式）
190A,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅｕｔｉｃｓ,グロース（内国株式）
1911,住友林業,プライム（内国株式）
1914,日本基礎技術,スタンダード（内国株式）
191A,ミモザ,PRO Market
1921,巴コーポレーション,スタンダード（内国株式）
1925,大和ハウス工業,プライム（内国株式）
1926,ライト工業,プライム（内国株式）
1928,積水ハウス,プライム（内国株式）
1929,日特建設,プライム（内国株式）
192A,インテグループ,グロース（内国株式）
1930,北陸電気工事,プライム（内国株式）
1934,ユアテック,プライム（内国株式）
1938,日本リーテック,プライム（内国株式）
1939,四電工,プライム（内国株式）
1941,中電工,プライム（内国株式）
1942,関電工,プライム（内国株式）
1944,きんでん,プライム（内国株式）
1945,東京エネシス,プライム（内国株式）
1946,トーエネック,プライム（内国株式）
1948,弘電社,スタンダード（内国株式）
1949,住友電設,プライム（内国株式）
194A,ＷＯＬＶＥＳ　ＨＡＮＤ,グロース（内国株式）
1950,日本電設工業,プライム（内国株式）
1951,エクシオグループ,プライム（内国株式）
1952,新日本空調,プライム（内国株式）
1959,クラフティア,プライム（内国株式）
195A,ＭＵＳＣＡＴ　ＧＲＯＵＰ,グロース（内国株式）
1960,サンテック,スタンダード（内国株式）
1961,三機工業,プライム（内国株式）
1963,日揮ホールディングス,プライム（内国株式）
1964,中外炉工業,プライム（内国株式）
1965,テクノ菱和,スタンダード（内国株式）
1966,高田工業所,スタンダード（内国株式）
1967,ヤマト,スタンダード（内国株式）
1968,太平電業,プライム（内国株式）
1969,高砂熱学工業,プライム（内国株式）
196A,ＭＦＳ,グロース（内国株式）
1972,三晃金属工業,スタンダード（内国株式）
1975,朝日工業社,プライム（内国株式）
1976,明星工業,プライム（内国株式）
1979,大氣社,プライム（内国株式）
197A,タウンズ,スタンダード（内国株式）
1980,ダイダン,プライム（内国株式）
1981,協和日成,スタンダード（内国株式）
1982,日比谷総合設備,プライム（内国株式）
198A,ＰｏｓｔＰｒｉｍｅ,グロース（内国株式）
1992,神田通信機,スタンダード（内国株式）
1994,高橋カーテンウォール工業,スタンダード（内国株式）
1997,暁飯島工業,スタンダード（内国株式）
199A,メディエア,PRO Market
2001,ニップン,プライム（内国株式）
2002,日清製粉グループ本社,プライム（内国株式）
2003,日東富士製粉,スタンダード（内国株式）
2004,昭和産業,プライム（内国株式）
2009,鳥越製粉,スタンダード（内国株式）
200A,ＮＥＸＴ　ＦＵＮＤＳ　日経半導体株指数連動型上場投信,ETF・ETN
2011,ＳＭＤＡＭ　Ａｃｔｉｖｅ　ＥＴＦ　日本高配当株式,ETF・ETN
2012,ｉシェアーズ　米国債０－３ヶ月　ＥＴＦ,ETF・ETN
2013,ｉシェアーズ　米国高配当株　ＥＴＦ,ETF・ETN
2014,ｉシェアーズ　米国連続増配株　ＥＴＦ,ETF・ETN
2015,ｉＦｒｅｅＥＴＦ　米国国債７－１０年（為替ヘッジなし）,ETF・ETN
2016,ｉＦｒｅｅＥＴＦ　米国国債７－１０年（為替ヘッジあり）,ETF・ETN
2017,ｉＦｒｅｅＥＴＦ　ＪＰＸプライム１５０,ETF・ETN
2018,グローバルＸ　ＵＳ　ＲＥＩＴ・トップ２０　ＥＴＦ,ETF・ETN
2019,グローバルＸ　米国優先証券　ＥＴＦ（隔月分配型）,ETF・ETN
201A,ｉシェアーズ　Ｎｉｆｔｙ　５０　インド株　ＥＴＦ,ETF・ETN
202A,豆蔵,グロース（内国株式）
2031,ＮＥＸＴ　ＮＯＴＥＳ　香港ハンセン・ダブル・ブル　ＥＴＮ,ETF・ETN
2032,ＮＥＸＴ　ＮＯＴＥＳ　香港ハンセン・ベア　ＥＴＮ,ETF・ETN
2033,ＮＥＸＴ　ＮＯＴＥＳ　韓国ＫＯＳＰＩ・ダブル・ブル　ＥＴＮ,ETF・ETN
2034,ＮＥＸＴ　ＮＯＴＥＳ　韓国ＫＯＳＰＩ・ベア　ＥＴＮ,ETF・ETN
